postal_code,coordinates
69917-400,"(42.913158, -1.5240512)"
69940-000,"(-9.0643191, -68.6568501)"
69970-000,"(-8.1596647, -70.7622575)"
69980-000,"(-7.608873563636364, -72.68029588181818)"
57920-000,"(45.5290072, 9.1646573)"
57018-000,"(43.3581911, 10.4545023)"
57071-000,"(44.33545328539326, -96.84542533707865)"
57100-000,"(-9.513244216666667, -35.8101271)"
57160-000,"(-9.727939025, -35.84166123333333)"
57800-000,"(-9.1320584, -36.03633385)"
57150-000,"(-9.601979933333332, -35.959662333333334)"
57690-000,"(-9.507593808333333, -36.03920536666667)"
57240-000,"(-9.73184685, -36.05834371)"
57230-000,"(-10.09494452, -36.1291409)"
57250-000,"(45.4621133, 9.2408408)"
57265-000,"(-9.9101504, -36.35446358)"
57200-000,"(-10.238724096590909, -36.6188404875)"
57360-000,"(-9.8850773, -36.8301879)"
57500-000,"(-9.37034745, -37.24619365)"
57445-000,"(-9.557178166666667, -37.37790686666667)"
57480-000,"(-9.37815774, -37.99999152)"
68907-000,"(-12.12342205, -44.955357711947215)"
68908-000,"(-12.12377245, -44.95527475)"
68902-000,"(40.60344493333333, -98.40705606666667)"
68905-000,"(-12.12331535, -44.95521405)"
68900-000,"(-12.12352555, -44.95516425)"
68904-000,"(-12.1233854, -44.95519745282474)"
68903-000,"(-12.12356215, -44.95532455)"
68925-000,"(-0.06962736, -51.17325118)"
68924-000,"(42.6639597, -2.0338195)"
69190-000,"(-6.55200934, -58.06200524)"
69230-000,"(45.7535973, 4.8474388)"
69100-000,"(-3.1293697714285713, -58.447272285714284)"
69240-000,"(30.62387295, 104.0779449438704)"
69200-000,"(-4.38588075, -59.59352055)"
69117-000,"(-2.6947946, -59.6995913)"
69088-000,"(-12.12554705, -44.95551935)"
69086-000,"(-12.1256537, -44.95566301192857)"
69084-000,"(-12.12502285, -44.95581235)"
69089-000,"(47.86603818333333, 35.01094031666667)"
69085-000,"(-12.125092949999999, -44.95579578805278)"
69099-000,"(-12.12582735, -44.95545295)"
69087-000,"(-12.1256171, -44.95550275)"
69099-000,"(42.8562273, -1.5824052)"
69098-000,"(47.84737897826087, 35.225329082608695)"
69097-000,"(47.80984931923077, 35.04919926153846)"
69082-000,"(-12.12505635, -44.95563551194722)"
69096-000,"(42.9496089, 17.039034)"
69095-000,"(47.80462555294118, 35.19707512352941)"
69735-000,"(-2.05034885, -60.019114875)"
69073-000,"(-12.12661485, -44.9553932)"
69090-000,"(-12.12551355, -44.955696200000006)"
69055-010,"(-3.0733769, -60.0247502)"
69093-000,"(47.88386467894737, 35.01453867368421)"
69039-000,"(40.673541, -100.380349)"
69030-680,"(42.8748992, 17.5589801)"
69029-000,"(40.714598, -100.205771)"
69035-000,"(47.843828557575755, 35.12865809090909)"
69038-000,"(40.65852, -100.627027)"
69250-000,"(-3.6630882, -59.8774577)"
69405-000,"(30.62387295, 104.0779449438704)"
69435-000,"(30.62387295, 104.0779449438704)"
69400-000,"(-3.2928672259036147, -60.62517770421686)"
69280-000,"(30.62387295, 104.0779449438704)"
69800-000,"(-7.5137458875, -63.027072103125)"
69460-000,"(-4.093276379903537, -63.14242578311897)"
69470-000,"(-3.3915888655737705, -64.79111939508198)"
69830-000,"(-7.2499951, -64.7833798)"
69750-000,"(-0.11633864736842106, -67.09527546315789)"
69600-000,"(-4.7384382, -69.5246815)"
69640-000,"(-4.2334175, -69.9311005)"
69880-000,"(-6.6585254, -69.8720872)"
69630-000,"(-4.37720205, -70.0302988)"
69895-000,"(-7.54502, -72.5819803)"
48370-000,"(-11.8044214, -37.9406715)"
48330-000,"(36.649626, -80.653169)"
48180-000,"(30.62387295, 104.0779449438704)"
48280-000,"(-12.5406867375, -38.0998189)"
48475-000,"(-11.310699933333332, -38.22015726666667)"
48120-000,"(-12.4302144975, -38.3284241275)"
42850-000,"(-12.6154926, -38.2960509)"
42800-970,"(-12.6947358, -38.331069)"
42700-000,"(-12.88809146875, -38.31081724375)"
41600-090,"(62.4263207, 28.6329185)"
43700-000,"(-12.794262814285714, -38.40228808571429)"
48490-000,"(-11.752491385714285, -38.32030062142857)"
48410-000,"(-10.5976873, -38.3807154)"
48110-000,"(-12.366281971428572, -38.38564772857143)"
41820-000,"(-12.985665566666666, -38.46783383333333)"
41100-140,"(23.0388319, -81.517497)"
40385-090,"(62.4263207, 28.6329185)"
40370-006,"(60.4075145, 22.4157123)"
40241-000,"(30.62387295, 104.0779449438704)"
40301-155,"(-12.9810753, -38.4960891)"
48400-000,"(-10.83327835, -38.54237585)"
40286-000,"(36.649626, -80.653169)"
43850-000,"(-12.5161536, -38.49721493333333)"
